Institute,NIRF_Engineering_Rank_2025,NIRF_Band_Only
Indian Institute of Technology Madras,1,False
Indian Institute of Technology Delhi,2,False
Indian Institute of Technology Bombay,3,False
Indian Institute of Technology Kanpur,4,False
Indian Institute of Technology Kharagpur,5,False
Indian Institute of Technology Roorkee,6,False
Indian Institute of Technology Hyderabad,7,False
Indian Institute of Technology Guwahati,8,False
Indian Institute of Technology (BHU) Varanasi,10,False
Indian Institute of Technology Indore,12,False
Indian Institute of Technology (ISM) Dhanbad,15,False
Indian Institute of Technology Patna,19,False
Indian Institute of Technology Gandhinagar,25,False
Indian Institute of Technology Mandi,26,False
Indian Institute of Technology Jodhpur,27,False
Indian Institute of Technology Ropar,32,False
Indian Institute of Technology Bhubaneswar,39,False
Indian Institute of Technology Jammu,56,False
Indian Institute of Technology Tirupati,57,False
Indian Institute of Technology Palakkad,64,False
Indian Institute of Technology Bhilai,72,False
Indian Institute of Technology Dharwad,77,False
Indian Institute of Technology Goa,125,True
